Código;Emissor;Setor;Indexador;Vencimento;Taxa Indicativa;Duration;PU;Negócios;Volume
LWSA102;Locaweb;Saneamento;% DI;31/08/2029;112.2722;3.34;987.518499;50;30779733.84
LWSA103;Locaweb;Telecom;Pré;28/10/2030;12.8408;4.5;922.567843;22;11160284.58
PRIO101;PetroRio;Financeiro;Pré;29/04/2029;14.2889;3.0;1020.696149;44;28800118.91
PRIO102;PetroRio;Infraestrutura;DI+;28/04/2035;2.4927;9.0;887.441275;36;27665818.18
PRIO103;PetroRio;Infraestrutura;DI+;30/04/2027;2.5415;1.0;1095.457664;31;9936518.44
PRIO104;PetroRio;Consumo;% DI;24/12/2033;105.2692;7.66;834.473754;25;47921612.25
VBBR101;Vibra Energia;Consumo;% DI;12/07/2027;100.1312;1.2;1075.811024;6;9768083.23
VBBR102;Vibra Energia;Infraestrutura;% DI;30/06/2029;100.0999;3.17;1091.066872;26;45173378.67
EMBR101;Embraer;Infraestrutura;Pré;22/11/2035;12.7595;9.57;947.297738;34;8935018.92
EMBR102;Embraer;Telecom;IPCA+;02/04/2035;4.5166;8.93;1150.279625;14;7976588.71
WEGE101;WEG;Energia;DI+;29/06/2035;2.1797;9.17;1122.856012;41;29004278.49
WEGE102;WEG;Consumo;IPCA+;19/01/2035;7.6489;8.73;1084.796199;34;11900105.94
EGIE101;Engie Brasil;Infraestrutura;IPCA+;24/01/2032;7.7142;5.74;877.008112;39;29398390.8
EGIE102;Engie Brasil;Infraestrutura;DI+;17/12/2033;0.7372;7.64;1199.79945;10;13744062.89
EGIE103;Engie Brasil;Telecom;% DI;16/05/2033;104.6441;7.05;963.828427;21;28888456.99
TAEE101;Taesa;Infraestrutura;DI+;19/08/2035;1.732;9.31;864.877944;10;18333551.2
TAEE102;Taesa;Saneamento;DI+;21/09/2032;1.7686;6.4;940.571219;6;45127673.31
TAEE103;Taesa;Saneamento;% DI;03/04/2029;109.5365;2.93;1155.242186;23;11990867.55
TAEE104;Taesa;Saneamento;% DI;12/03/2028;107.0913;1.87;858.300492;21;25663133.89
